start_time,end_time,content,source
0.076,3.078,中国传统功夫的春天又来了,https://www.bilibili.com/video/BV1WT411e7ZJ/
6.054,8.087,呃我注意你很久了啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
8.087,10.001,说你好朋友啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
10.001,11.039,我注意你很久了,https://www.bilibili.com/video/BV1WT411e7ZJ/
11.039,14.082,我发给你净说这个过头话啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
14.084,18.022,看是赞成，实际是干什么的,https://www.bilibili.com/video/BV1WT411e7ZJ/
18.022,19.087,实际是反对的啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
19.087,22.046,哎我给你讲个故事啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
22.072,25.006,有个人说坏话，说什么呢,https://www.bilibili.com/video/BV1WT411e7ZJ/
25.006,29.056,说是这一家这个老人,https://www.bilibili.com/video/BV1WT411e7ZJ/
29.056,32.006,他公公不干净啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
33.026,38.012,和他儿子媳妇有这个，有不干净的过去,https://www.bilibili.com/video/BV1WT411e7ZJ/
38.003,40.019,他在旁边怎么说呢,https://www.bilibili.com/video/BV1WT411e7ZJ/
40.019,42.002,他说他家丑不可外扬,https://www.bilibili.com/video/BV1WT411e7ZJ/
42.002,43.049,你怎么说人家呀,https://www.bilibili.com/video/BV1WT411e7ZJ/
43.049,45.044,他明上是护着一家,https://www.bilibili.com/video/BV1WT411e7ZJ/
45.044,47.199,实际上他更坏,https://www.bilibili.com/video/BV1WT411e7ZJ/
47.052,48.009,知道吧,https://www.bilibili.com/video/BV1WT411e7ZJ/
48.009,51.004,你这手段好看多了啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
2.032,3.052,呃朋友们好啊,https://www.bilibili.com/video/BV1584y1N7cR/
3.052,6.037,我是混元形意太极门掌门人马保国,https://www.bilibili.com/video/BV1584y1N7cR/
6.037,8.011,刚才有个朋友问我,https://www.bilibili.com/video/BV1584y1N7cR/
8.011,9.055,马老师发生什么事了,https://www.bilibili.com/video/BV1584y1N7cR/
9.055,10.072,我说怎么回事,https://www.bilibili.com/video/BV1584y1N7cR/
10.072,12.055,给我发了几张截图,https://www.bilibili.com/video/BV1584y1N7cR/
12.055,13.087,我一看哦,https://www.bilibili.com/video/BV1584y1N7cR/
13.087,17.055,原来是昨天，有两个年轻人,https://www.bilibili.com/video/BV1584y1N7cR/
17.055,18.087,30多岁,https://www.bilibili.com/video/BV1584y1N7cR/
18.087,20.007,一个体重90多公斤,https://www.bilibili.com/video/BV1584y1N7cR/
20.007,22.026,一个体重80多公斤,https://www.bilibili.com/video/BV1584y1N7cR/
22.026,27.036,他们说，哎，有一个说是：我在健身房练功,https://www.bilibili.com/video/BV1584y1N7cR/
27.036,28.053,颈椎练坏了,https://www.bilibili.com/video/BV1584y1N7cR/
28.053,28.095,马老师,https://www.bilibili.com/video/BV1584y1N7cR/
28.095,32.001,你能不能教教我混元功法,https://www.bilibili.com/video/BV1584y1N7cR/
32.001,34.017,帮助治疗一下我的颈椎病,https://www.bilibili.com/video/BV1584y1N7cR/
34.017,35.059,我说可以,https://www.bilibili.com/video/BV1584y1N7cR/
35.006,38.075,我说你在健身房练死劲儿不好用,https://www.bilibili.com/video/BV1584y1N7cR/
38.075,40.539,他不服气,https://www.bilibili.com/video/BV1584y1N7cR/
40.539,41.379,我说小朋友,https://www.bilibili.com/video/BV1584y1N7cR/
41.379,43.239,你两个手来折我一个手指头,https://www.bilibili.com/video/BV1584y1N7cR/
43.239,44.049,他折不动,https://www.bilibili.com/video/BV1584y1N7cR/
44.049,45.068,他说你这也没用,https://www.bilibili.com/video/BV1584y1N7cR/
46.001,47.054,我说我这个有用,https://www.bilibili.com/video/BV1584y1N7cR/
47.054,48.005,这是化劲儿,https://www.bilibili.com/video/BV1584y1N7cR/
48.005,50.006,传统功夫是讲化劲的,https://www.bilibili.com/video/BV1584y1N7cR/
50.006,51.026,四两拨千斤,https://www.bilibili.com/video/BV1584y1N7cR/
54.002,55.779,我这一个手指啊,https://www.bilibili.com/video/BV1584y1N7cR/
55.084,57.001,他说要和我试试,https://www.bilibili.com/video/BV1584y1N7cR/
57.001,58.066,我说可以诶,https://www.bilibili.com/video/BV1584y1N7cR/
58.066,60.022,我一说，他啪就站起来了,https://www.bilibili.com/video/BV1584y1N7cR/
60.022,61.024,很快啊,https://www.bilibili.com/video/BV1584y1N7cR/
61.024,64.008,然后上来就是一个左正蹬,https://www.bilibili.com/video/BV1584y1N7cR/
65.0,66.032,一个右鞭腿,https://www.bilibili.com/video/BV1584y1N7cR/
66.032,67.016,一个左刺拳,https://www.bilibili.com/video/BV1584y1N7cR/
67.016,68.003,我全部防出去,https://www.bilibili.com/video/BV1584y1N7cR/
68.003,69.015,防出去了啊,https://www.bilibili.com/video/BV1584y1N7cR/
69.015,71.073,防出去以后自然是传统功夫,https://www.bilibili.com/video/BV1584y1N7cR/
71.073,72.075,以点到为止,https://www.bilibili.com/video/BV1584y1N7cR/
72.075,74.031,右拳放在了鼻子上,https://www.bilibili.com/video/BV1584y1N7cR/
74.031,74.079,没打他,https://www.bilibili.com/video/BV1584y1N7cR/
74.079,75.066,我笑一下,https://www.bilibili.com/video/BV1584y1N7cR/
75.066,76.044,准备收拳,https://www.bilibili.com/video/BV1584y1N7cR/
76.044,79.057,因为这时间按传统功夫的点到为止,https://www.bilibili.com/video/BV1584y1N7cR/
79.057,80.044,他已经输了,https://www.bilibili.com/video/BV1584y1N7cR/
80.044,84.016,如果这一拳发力一拳就把他鼻子打骨折了,https://www.bilibili.com/video/BV1584y1N7cR/
84.016,85.003,放在鼻子上,https://www.bilibili.com/video/BV1584y1N7cR/
85.003,85.069,没有打他,https://www.bilibili.com/video/BV1584y1N7cR/
85.069,86.062,他也承认,https://www.bilibili.com/video/BV1584y1N7cR/
86.062,88.069,我先打到他面部,https://www.bilibili.com/video/BV1584y1N7cR/
88.069,90.076,他不知道拳放在他鼻子上,https://www.bilibili.com/video/BV1584y1N7cR/
90.076,92.096,他承认我先打到他面部啊,https://www.bilibili.com/video/BV1584y1N7cR/
93.012,95.031,我收拳的时间不打了,https://www.bilibili.com/video/BV1584y1N7cR/
95.031,98.064,他突然袭击左刺拳来打我脸啊,https://www.bilibili.com/video/BV1584y1N7cR/
98.064,99.072,我大意了啊,https://www.bilibili.com/video/BV1584y1N7cR/
99.072,100.043,没有闪,https://www.bilibili.com/video/BV1584y1N7cR/
100.043,101.006,哎,https://www.bilibili.com/video/BV1584y1N7cR/
101.006,103.001,他的左拳给我眼啊,https://www.bilibili.com/video/BV1584y1N7cR/
103.001,104.012,右眼蹭了一下,https://www.bilibili.com/video/BV1584y1N7cR/
104.012,105.041,但没关系啊,https://www.bilibili.com/video/BV1584y1N7cR/
105.041,106.085,他也说啊,https://www.bilibili.com/video/BV1584y1N7cR/
106.085,107.081,他截图也说了,https://www.bilibili.com/video/BV1584y1N7cR/
107.081,109.001,两分多钟以后,https://www.bilibili.com/video/BV1584y1N7cR/
109.001,110.015,当时流眼泪了,https://www.bilibili.com/video/BV1584y1N7cR/
110.015,110.057,捂着眼,https://www.bilibili.com/video/BV1584y1N7cR/
110.057,111.043,我说停、停,https://www.bilibili.com/video/BV1584y1N7cR/
111.043,113.035,然后两分多钟以后,https://www.bilibili.com/video/BV1584y1N7cR/
113.035,115.049,两分多钟以后诶就好了,https://www.bilibili.com/video/BV1584y1N7cR/
115.049,116.045,我说小伙子,https://www.bilibili.com/video/BV1584y1N7cR/
116.045,117.011,你不讲武德,https://www.bilibili.com/video/BV1584y1N7cR/
117.011,118.013,你不懂马老师,https://www.bilibili.com/video/BV1584y1N7cR/
118.013,118.079,对不起对不起,https://www.bilibili.com/video/BV1584y1N7cR/
118.079,120.005,我不懂规矩啊,https://www.bilibili.com/video/BV1584y1N7cR/
120.005,121.073,他说他是乱打的,https://www.bilibili.com/video/BV1584y1N7cR/
121.073,123.022,他可不是乱打的啊,https://www.bilibili.com/video/BV1584y1N7cR/
123.062,125.045,一个右鞭腿,https://www.bilibili.com/video/BV1584y1N7cR/
125.045,127.004,一个左刺拳，训练有素,https://www.bilibili.com/video/BV1584y1N7cR/
127.004,129.074,后来他说他练过34年泰拳啊,https://www.bilibili.com/video/BV1584y1N7cR/
129.074,132.024,看来是有备而来,https://www.bilibili.com/video/BV1584y1N7cR/
132.399,139.088,这两个年轻人不讲武德来骗偷袭我,https://www.bilibili.com/video/BV1584y1N7cR/
139.088,142.719,69岁的老同志,https://www.bilibili.com/video/BV1584y1N7cR/
142.719,143.679,这好吗,https://www.bilibili.com/video/BV1584y1N7cR/
143.679,144.279,这不好,https://www.bilibili.com/video/BV1584y1N7cR/
